name,T1,Period,Perioderror,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,relteff,reltefferror,colat,colaterror,long,longerror,radius,radiuserror,r1,r2,R^2,sma,smaerror,M1,M1error,M2,M2error,R1,R1error,R2,R2error,L1,L1error,L2,L2error
TIC 279156705,6923,0.72269,0.00083,82.04547,1.06809,0.1552,0.0044,0.70494,0.08654,0.99703,0.01272,0.84011,0.05323,38.16463,67.37283,-252.50007,21.24078,20.75802,7.90872,0.57198,0.26584,0.9931,4.56271,0.06952,2.02064,0.06831,0.3136,0.0106,2.65451,0.02499,1.23374,0.01161,14.06143,0.14927,2.88694,0.02966
TIC 279224984,6011,1.06468,0.00017,82.47246,1.01603,0.1591,0.00543,0.18634,0.04106,0.95484,0.01127,0.72962,0.07779,55.59578,12.82494,-3.23586,3.43506,15.02166,2.15567,0.54975,0.24334,0.9979,6.47319,0.16545,2.81343,0.15865,0.44762,0.02524,3.54711,0.03251,1.57008,0.01439,13.95673,0.32951,2.34621,0.02884
TIC 199612934,7092,0.60141,0.00014,81.50139,0.95048,0.09073,0.00219,0.37772,0.06274,0.9605,0.01195,0.79646,0.1139,141.98315,30.90633,-355.89756,18.12306,12.37933,11.80565,0.59785,0.21231,0.9989,3.89748,0.04474,1.9963,0.01714,0.18112,0.00156,2.34099,0.01457,0.83134,0.00517,12.16766,0.18082,1.28509,0.01487
TIC 204325855,6524,0.48451,8.00E-05,77.23347,0.10422,0.24546,0.00141,0.04883,0.00613,0.99726,0.00093,0.73121,0.11121,1.15646,3.00468,-130.83154,75.88632,2.441,4.64603,0.50791,0.26803,0.9993,3.25625,0.0324,1.40656,0.04644,0.34525,0.0114,1.62809,0.01314,0.85916,0.00693,4.27766,0.02768,1.19369,0.02243
TIC 211412634,6496,0.75302,0.00019,79.80048,2.03869,0.17463,0.00729,0.19077,0.11073,0.94921,0.01225,0.86289,0.12168,100.08995,70.73756,-125.50342,116.4074,7.21067,6.85049,0.54251,0.25025,0.9958,4.71041,0.07582,2.12075,0.06849,0.37035,0.01196,2.52357,0.02341,1.16408,0.0108,9.43714,0.18716,1.77209,0.02422
TIC 219738202,6904,0.57879,0.0001,79.61798,2.80256,0.26537,0.02405,0.5387,0.15804,0.97186,0.0499,0.81243,0.12173,53.98545,42.60045,-172.77382,19.72091,21.05143,9.07036,0.52717,0.30323,0.9908,3.80278,0.02981,1.66545,0.05326,0.44196,0.01413,1.97222,0.01886,1.13443,0.01085,7.43059,0.29205,2.1709,0.03487
TIC 233233639,7213,0.44051,0.0001,80.84404,0.90927,0.10707,0.00177,0.17726,0.04191,0.91776,0.00784,0.80691,0.05006,164.83848,4.70788,-336.61059,3.39839,43.03443,5.79451,0.58014,0.21604,0.9977,3.03486,0.06188,1.70104,0.06139,0.18213,0.00657,1.72897,0.03039,0.64385,0.01132,7.02406,0.17053,0.68488,0.00517
TIC 233636431,6896,0.42726,9.00E-05,83.45809,0.30997,0.24372,0.00185,0.24887,0.0148,0.99724,0.00297,0.7671,0.09041,165.68663,62.43732,-301.03891,20.15331,21.01855,15.7694,0.51834,0.2787,0.9989,2.93357,0.05968,1.38898,0.10284,0.33852,0.02506,1.52748,0.00669,0.82129,0.0036,4.75824,0.02698,1.30773,0.0087
TIC 237130278,7080,0.41314,7.00E-05,76.49042,0.23408,0.14451,0.00111,0.51165,0.02127,0.99726,0.00365,0.8489,0.1318,151.98695,21.96489,-338.48824,41.93553,7.1377,5.93437,0.5693,0.25089,0.9952,2.82289,0.07864,1.54417,0.02359,0.22315,0.00341,1.65492,0.03051,0.72932,0.01345,5.87126,0.06968,1.07595,0.05588
TIC 240911239,5760,0.41255,9.00E-05,83.09199,0.46088,0.25227,0.00277,0.27285,0.01948,1.00614,0.00264,0.87479,0.1269,148.38086,28.24224,-275.66777,155.12516,9.54873,7.99119,0.51679,0.28284,0.9874,2.80892,0.07954,1.27483,0.07761,0.3216,0.01958,1.41697,0.0181,0.77551,0.00991,1.98982,0.06254,0.58845,0.00935
TIC 250114673,6200,0.32881,8.00E-05,72.26498,0.12937,0.0929,0.0006,0.49664,0.01808,1.00862,0.00162,0.79038,0.03571,132.9311,7.89576,-53.38821,2.88187,16.72963,3.44097,0.59948,0.21803,0.9991,2.39308,0.01831,1.51458,0.03468,0.1407,0.00322,1.44632,0.00519,0.52603,0.00189,2.74278,0.01475,0.37874,0.00183
TIC 250203533,5733,0.37458,0.00012,80.94147,0.1573,0.16683,0.00061,0.43832,0.00901,1.02768,0.00158,0.69428,0.07259,169.86387,2.24566,-172.97043,3.29085,26.10085,1.83911,0.55607,0.25865,0.9995,2.62371,0.03529,1.48307,0.05122,0.24742,0.00855,1.50239,0.01555,0.69882,0.00723,2.08856,0.02526,0.53584,0.00274
TIC 255682622,6103,0.32159,0.00018,77.94336,1.06783,0.0816,0.00315,0.67447,0.07542,1.07979,0.00612,0.93701,0.02964,106.36774,4.50672,-291.93802,2.44121,25.37954,6.5837,0.61279,0.2152,0.9931,2.32038,0.03982,1.46255,0.05809,0.11934,0.00474,1.44712,0.019,0.5082,0.00667,2.37914,0.11165,0.43487,0.00705
TIC 256797617,4934,0.25073,5.00E-05,88.72113,0.99722,0.30253,0.00806,0.32878,0.04623,1.03287,0.01096,0.6503,0.04927,10.74621,5.58816,-1.70613,1.81872,45.23594,5.60923,0.50543,0.30135,0.9939,1.89271,0.04677,0.9894,0.02383,0.29932,0.00721,0.95828,0.01464,0.57135,0.00873,0.46054,0.01485,0.19675,0.00506
