name,T1,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,R^2
TIC 258776281,6485,86.856,2.096,0.185,0.008,0.701,0.055,1.008,0.005,0.125,0.03,0.986
TIC 260411041,6952,86.639,1.702,0.152,0.009,0.839,0.25,1.034,0.015,0.196,0.06,0.999
TIC 261089147,7620,80.181,1.778,0.239,0.023,0.412,0.049,0.959,0.001,0.027,0.06,0.999
TIC 261105201,6063,81.037,2.464,0.211,0.03,0.482,0.085,0.949,0.003,0.334,0.068,1
TIC 261981997,5726,86.308,1.919,0.163,0.008,0.891,0.046,1.02,0.008,0.27,0.027,0.999
TIC 265015162,5787,86.373,2.586,0.128,0.006,0.748,0.107,1.086,0.018,0.072,0.04,0.997
TIC 266769521,6102,87.389,2.417,0.318,0.006,0.149,0.076,0.932,0.01,0.005,0.006,0.994
TIC 266769522,7065,88.646,0.745,0.344,0.007,0.177,0.029,0.853,0.013,0.004,0.013,0.981
TIC 267043786,6720,86.485,1.841,0.35,0.017,0.316,0.033,0.974,0.004,0.097,0.027,0.998
TIC 268686130,7836,84.504,2.123,0.187,0.011,0.289,0.046,0.977,0.006,0.055,0.041,0.979
TIC 271495349,6688,88.424,1.213,0.442,0.007,0.393,0.017,1,0.002,0.015,0.008,1
TIC 274676647,6338,87.375,1.56,0.311,0.008,0.234,0.019,1.026,0.003,0.027,0.016,1
TIC 274967957,5774,88.734,1.177,0.279,0.006,0.128,0.018,0.962,0.004,0.028,0.016,0.998
TIC 279156705,6923,87.048,2.378,0.182,0.008,0.793,0.065,1.011,0.004,0.108,0.031,0.994
TIC 279224984,6011,85.681,0.998,0.189,0.015,0.298,0.146,0.93,0.023,0.061,0.074,0.997
TIC 289166536,6467,84.498,4.5,0.247,0.11,0.477,0.195,1.025,0.017,0.038,0.086,0.989
TIC 290034099,7810,83.904,1.199,0.348,0.017,0.478,0.029,0.97,0.004,0.042,0.028,0.998
TIC 198037139,6661,87.855,1.385,0.156,0.007,0.727,0.129,1.055,0.009,0.129,0.036,0.999
